Precio;M2;Balcon2;Amenities;cocinaSep;Monoambiente;A Estrenar;Patio PB;PB
75000;40;0;0;1;0;0;1;0
78000;54;1;0;1;0;0;0;0
74000;58;1;0;0;0;0;0;0
76000;36;0;0;0;0;0;0;0
67000;49;1;0;0;0;0;0;0
126000;54;1;0;0;0;0;0;0
59900;40;0;0;1;0;0;0;0
60000;48;0;0;1;0;0;0;0
55000;40;0;1;0;0;0;1;1
105000;55;1;1;1;0;0;0;0
102900;52;0;1;0;0;0;0;0
113000;67;1;1;0;0;0;0;0
82000;67;1;1;1;0;0;0;0
140000;45;1;1;0;0;1;0;0
102300;60;1;1;0;0;1;0;0
150000;65;1;1;0;0;0;0;0
124900;113;1;1;1;0;0;0;1
66000;45;1;1;1;0;0;0;0
98000;40;1;0;1;0;1;1;0
107000;82;1;0;0;0;1;0;0
75500;44;0;0;1;0;0;1;0
98000;91;0;1;0;0;0;1;1
102000;60;1;1;0;0;1;0;0
99000;50;0;1;0;0;1;0;0
79000;30;0;0;1;0;0;0;0
126000;71;1;1;0;0;0;0;0
100000;47;0;1;0;0;0;0;0
75000;45;0;0;0;0;0;0;0
76000;55;1;0;0;0;0;0;0
82000;60;1;0;1;0;0;0;0
125000;42;1;1;0;0;0;0;0
110000;44;1;0;1;0;1;0;0
143200;82;1;0;0;0;0;0;0
124000;63;1;1;0;0;0;0;0
95400;62;1;1;0;0;0;1;1
65000;36;0;0;1;0;0;0;0
55000;59;0;0;0;0;0;1;0
110000;53;1;0;1;0;0;0;0
99500;50;1;0;1;0;0;0;0
83000;34;0;0;0;0;0;0;0
70000;48;1;0;1;0;0;0;0
96500;52;1;0;0;0;1;0;0
154000;78;1;1;0;0;1;0;1
149000;112;1;1;0;0;0;0;0
110000;67;1;1;0;0;0;0;0
110000;52;1;1;0;0;1;0;0
95400;62;1;1;0;0;0;1;1
94500;60;1;1;0;0;0;0;0
102000;47;0;1;0;0;1;0;0
120000;58;1;1;0;0;1;0;1
179000;78;1;0;0;0;0;0;0
61950;46;0;0;0;0;1;0;0
75000;45;0;0;1;0;0;0;0
58900;45;0;0;0;0;1;0;0
85000;65;1;0;0;0;0;0;1
79000;30;0;0;1;0;1;0;0
161200;82;1;0;0;0;0;0;0
85000;65;1;0;0;0;0;0;1
77500;38;1;0;1;0;0;0;0
118420;64;0;0;0;0;0;0;0
115000;48;1;0;0;0;0;0;0
95000;60;1;1;0;0;0;0;0
102900;54;0;1;0;0;0;0;0
69000;35;0;0;1;0;0;0;0
94500;60;1;1;0;0;0;0;0
101500;64;1;0;0;0;0;0;0
80000;43;0;0;1;0;0;0;0
145000;80;1;1;0;0;0;0;0
71742;70;0;1;0;0;0;1;0
115000;50;1;0;1;0;0;0;0
77500;35;1;0;1;0;0;0;0
58900;45;0;0;0;0;1;0;0
75000;45;0;0;1;0;0;0;0
61950;46;0;0;0;0;1;0;0
132000;71;1;1;0;0;0;0;0
129000;57;1;0;1;0;0;0;0
86000;44;1;0;0;0;0;0;0
86000;58;0;1;0;0;0;1;1
110000;40;1;0;1;0;0;0;0
75000;57;1;0;0;0;0;0;0
60000;48;0;0;0;0;0;0;0
110000;51;0;0;1;0;0;0;0
76000;42;1;0;1;0;0;0;0
116500;59;0;0;0;0;1;0;0
99000;48;1;0;0;0;1;0;0
60900;49;0;0;0;0;1;0;0
90000;49;1;0;0;0;0;0;0
120000;50;1;1;1;0;0;0;0
92500;60;1;0;1;0;0;0;0
77500;38;1;0;1;0;0;0;0
115000;48;1;0;0;0;0;0;0
102000;60;1;1;0;0;1;0;0
115000;60;1;0;1;0;0;0;0
77500;35;1;0;1;0;0;0;0
115000;50;1;0;1;0;0;0;0
96000;60;1;1;0;0;1;0;0
132000;71;1;1;0;0;0;0;0
69000;45;1;1;1;0;0;0;0
118420;64;0;0;0;0;0;0;0
102900;54;0;1;0;0;0;0;0
68000;45;1;0;1;0;0;1;0
83000;34;0;0;0;0;0;0;0
68000;48;0;0;0;0;0;0;0
76000;42;1;0;1;0;0;0;0
110000;53;1;0;1;0;0;0;0
69000;35;0;0;1;0;0;0;0
80000;43;0;0;1;0;0;0;0
69000;38;1;1;1;0;0;0;0
116000;78;1;0;1;0;0;0;1
68000;45;0;0;0;0;0;0;0
67000;40;1;0;1;0;0;0;0
115000;46;1;1;0;0;0;1;0
62000;36;0;0;1;0;0;0;0
110000;46;1;1;0;0;1;0;0
87000;40;0;0;1;0;0;0;0
112000;52;1;1;0;0;1;0;0
77500;45;1;0;1;0;0;0;0
89000;75;0;0;1;0;0;1;1
72000;42;1;0;1;0;0;0;0
77000;38;1;0;1;0;0;0;0
69000;45;0;0;0;0;0;0;1
65000;31;0;0;0;0;0;0;0
118000;55;1;0;1;0;0;0;0
89000;91;0;0;1;0;0;0;0
125000;48;1;1;0;0;1;0;0
72000;40;1;0;0;0;0;0;0
153000;77;1;1;0;0;1;0;1
96000;63;1;0;0;0;0;0;0
85000;51;1;0;0;0;0;0;0
